country,code,income,year,age,pop,dts,bsn,bsn_up,bsn_lp,psc,up,lp,exc,age_type
Nicaragua,NIC,Lower-mid,2021,5-9,693329,119,147.21077965495198,224,92,0.808364715402803,1.2934782608695652,0.53125,No-change,5y groups
Nicaragua,NIC,Lower-mid,2022,5-9,695577,136,146.95812966778487,245.02499999999998,88,0.9254336613254609,1.5454545454545454,0.5550454035302521,No-change,5y groups
Nicaragua,NIC,Lower-mid,2020,10-14,664268,137,160.36472957754177,201,127,0.8543025661621926,1.078740157480315,0.681592039800995,No-change,5y groups
Nicaragua,NIC,Lower-mid,2021,10-14,669364,159,160.16012175938857,204,125,0.9927564880280783,1.272,0.7794117647058824,No-change,5y groups
Nicaragua,NIC,Lower-mid,2022,10-14,674597,153,159.97899304641876,210.02499999999998,117.97500000000002,0.9563755658569887,1.2968849332485695,0.7284847042018808,No-change,5y groups
Nicaragua,NIC,Lower-mid,2020,15-19,650681,311,342.9263737611886,390,304.975,0.9069002088960884,1.019755717681777,0.7974358974358975,No-change,5y groups
Nicaragua,NIC,Lower-mid,2021,15-19,649902,310,338.6449258424465,389,293,0.9154130959701032,1.0580204778156996,0.7969151670951157,No-change,5y groups
Nicaragua,NIC,Lower-mid,2022,15-19,650429,317,335.0892791050782,391,286,0.9460165387762056,1.1083916083916083,0.8107416879795396,No-change,5y groups
Nicaragua,NIC,Lower-mid,2020,20-24,647276,490,463.5686770826369,554.025,390,1.057017059659213,1.2564102564102564,0.8844366228960787,No-change,5y groups
Nicaragua,NIC,Lower-mid,2021,20-24,645392,492,438.6081081543393,529,361.975,1.1217302891876157,1.3592098901857863,0.9300567107750473,No-change,5y groups
Nicaragua,NIC,Lower-mid,2022,20-24,643778,522,415.1621079653396,519,327.975,1.2573401810638747,1.5915847244454606,1.0057803468208093,Excess,5y groups
North Macedonia,MKD,Upper-mid,2020,Stillbirths,38198,136,128.42441870925165,158,101,1.0589886360155478,1.3465346534653466,0.8607594936708861,No-change,<1m
North Macedonia,MKD,Upper-mid,2021,Stillbirths,37438,142,120.58899077519249,152,91.97500000000002,1.1775535982776646,1.543897798314759,0.9342105263157895,No-change,<1m
North Macedonia,MKD,Upper-mid,2020,Infant,19031,108,99.23361686700885,214.07499999999993,33.950000000000045,1.0883408607865186,3.1811487481590532,0.5044960878196896,No-change,<5y
North Macedonia,MKD,Upper-mid,2021,Infant,18648,85,84.11673028013469,201.02499999999998,21,1.0105005236999078,4.0476190476190474,0.4228329809725159,No-change,<5y
North Macedonia,MKD,Upper-mid,2022,Infant,18073,58,70.52340644801211,201,15,0.8224219861352838,3.8666666666666667,0.2885572139303483,No-change,<5y
North Macedonia,MKD,Upper-mid,2020,1-4,88237,17,19.34257709036948,39,7,0.8788901251666288,2.4285714285714284,0.4358974358974359,No-change,<5y
North Macedonia,MKD,Upper-mid,2021,1-4,85360,14,17.77672080418253,39.02499999999998,5,0.7875468234111018,2.8,0.3587443946188343,No-change,<5y
North Macedonia,MKD,Upper-mid,2022,1-4,82930,15,16.407505300360484,45.02499999999998,4,0.9142157643959706,3.75,0.33314825097168255,No-change,<5y
