Country,Code,Income,Year,Sex,Age,Exposure,Deaths,Rate,bsn,bsn_lp,bsn_up,psc,up,lp,Source_dts,pop_yng,pop_in,fit_in,inc_in
Albania,ALB,Upper-mid,2017,f,10-14,86912,19,21.9,22.61927594618619,14,33,0.8399915207367001,1.3571428571428572,0.5757575757575758,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,f,10-14,84022,20,23.8,21.379274351115317,12,32,0.9354854459293955,1.6666666666666667,0.625,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,f,10-14,82002,24,29.3,20.399775161699623,10,33,1.1764835548315142,2.4,0.7272727272727273,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,f,10-14,79901,15,18.8,19.000066977621653,8,34,0.789470901216667,1.875,0.4411764705882353,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,m,10-14,101340,19,18.7,23.244053669657838,12.975000000000023,36,0.8174133595639598,1.4643545279383403,0.5277777777777778,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,m,10-14,97353,25,25.7,22.590629593952727,14,34,1.1066535306608822,1.7857142857142858,0.7352941176470589,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,m,10-14,93517,26,27.8,21.95419856848782,13,33,1.1842837222634655,2,0.7878787878787878,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,m,10-14,89865,23,25.6,21.34349940253429,12,33,1.0776114809584139,1.9166666666666667,0.696969696969697,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,m,10-14,86846,17,19.6,20.867618765367276,11,33,0.8146593145651037,1.5454545454545454,0.5151515151515151,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,m,10-14,83138,20,24.1,20.44648689068645,9,38,0.978163148854201,2.2222222222222223,0.5263157894736842,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2015,t,10-14,195282,49,25.1,48.807101339663305,36,64,1.0039522662694975,1.3611111111111112,0.765625,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2016,t,10-14,187605,46,24.5,46.623527827725574,34,60,0.9866263267329423,1.3529411764705883,0.7666666666666667,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2017,t,10-14,180428,45,24.9,44.586622966416996,32,57,1.0092713241344689,1.40625,0.7894736842105263,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2018,t,10-14,173888,43,24.7,42.72776522533732,30,56,1.0063713787329378,1.4333333333333333,0.7678571428571429,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2019,t,10-14,168848,41,24.3,41.254982640857314,29,55,0.9938193492146864,1.4137931034482758,0.7454545454545455,unicef_ccs,2866848.5,1,1,1
Albania,ALB,Upper-mid,2021,t,10-14,163040,35,21.5,39.387144638583536,27.975000000000023,53,0.8886148087443256,1.2511170688114377,0.660377358490566,unicef_ccs,2866848.5,1,1,1
